text,label
-(KARATE YELL,1
-ANDY,5
-HANNAH,1
-Janie,1
"-Mayday, mayday",1
-Potato Head,1
-SID,1
-SLINKY,1
-Sid,1
-TOGETHER,1
-WOODY,2
-Woody,4
1,1
1 2,1
1 6,1
2,1
3,1
ANDY,5
Ages 3 and up,1
Al's Toy Barn,1
Andy,34
Astro,1
BO,4
BOY,2
BUZZ,2
BUZZ'S,1
Bart,2
Battleship,1
Bird,2
Black Hole,1
Bo,3
Bo Peep,1
Buddy,1
Buzz,74
Buzz Lightyear,22
CHUCKLES,1
Charlie,1
Christmas,1
Control,1
Cool Ranch,1
Cutting Boulevard,2
Darjeeling,1
Drool,1
Ducky,2
ELECTRONlC VOlCE,1
Earth,1
First,1
Four,1
Frankincense,1
Golly bob,1
HAMM,4
HANNAH,3
Hakuna Matata,1
Hamm,1
Hannah,6
Hong Kong,1
Houston,3
Idaho,1
Janie,1
Jones,1
Just a sec,1
LASER BUZZlNG,1
Lenny,1
Light Beer,1
Light Snack,1
Lightyear,2
Lizard,1
MOM,1
Ma,1
Marie Antoinette,1
Mattel,2
Mike,1
Mission Control,1
Molly,5
Mom,2
Mr. Potato Head,1
Nesbitt,3
One,3
One minute,1
Only one,1
POTATO HEAD,1
PUMBAA,1
Picasso,1
Pizza Planet,5
Playskool,1
Pop Tarts,1
Potato Head,7
Pump Boy,1
R.C.,1
REX,2
ROBOT,2
Rex,3
Rocky,1
RollerBob,1
SID,2
SLINKY,3
SPELL,1
Sally,2
Sarge,1
Scud,2
Sector 1 2,2
Sector Four,1
Sid,19
Sid Phillips,2
Singapore,1
Slink,4
Slinky,3
Space Ranger,1
Spell,2
Star Command,7
Swiss Army,1
Ten,1
TlMON,1
Tomorrow,1
Tuesday,1
Universe Protection Unit,2
VOlCE BOX,8
WOODY,3
West,1
Whiskers,1
Woody,58
Years,1
Zurg,3
a Buzz Lightyear,1
a Space Ranger,3
a couple of days,1
a few minutes,1
a minute,5
a second,1
any minute,1
bozo,1
early this year,1
eight,2
first,6
five,4
four,2
ifAndy,1
just a minute,1
kindergarten,1
miles and miles,1
next month's,1
next week,1
night,1
nine,2
one,3
one week,1
second,1
seven,2
six,2
the Buzz Lightyear,1
the Galactic Alliance,1
the Gamma Quadrant,1
the Space Ranger Corps,1
the day,1
the years,1
this morning,1
three,4
three o'clock,1
today,6
tomorrow,1
tonight,1
two,5
two days,1
weeks,1
